hour,speed
0,5.8120229873961895
1,5.573905641021391
2,5.043134727284216
3,4.208118001245223
4,5.8336462207624695
5,5.037814026881496
6,5.6270903684046685
7,5.118757744841568
8,4.059840292609076
9,3.933623716301603
10,4.003113470035029
11,4.195633300323441
12,4.18244412816313
13,4.38525425736143
14,4.550693258037614
15,4.4631004620054116
16,4.70927161657977
17,4.712151407495049
18,4.688311854273665
19,4.822849177196547
20,5.414946312589092
21,5.810585291554107
22,5.755007946520547
23,6.018832421068831
